,region_code,region_name,district_id,district_name,geohash,event_city,travel_city
0,3,Республика_Бурятия,,Zakamenskiy,8825543425fffff,ZAKAMENSK,ЗАКАМЕНСК
1,3,Республика_Бурятия,,Zakamenskiy,8825556009fffff,ZAKAMENSK,ЗАКАМЕНСК
2,3,Республика_Бурятия,,Zakamenskiy,882555c8d5fffff,ZAKAMENSK,ЗАКАМЕНСК
3,3,Республика_Бурятия,,Zakamenskiy,882555ba41fffff,ZAKAMENSK,ЗАКАМЕНСК
4,3,Республика_Бурятия,,Zakamenskiy,8825555593fffff,ZAKAMENSK,ЗАКАМЕНСК
5,3,Республика_Бурятия,,Zakamenskiy,8825551901fffff,ZAKAMENSK,ЗАКАМЕНСК
6,3,Республика_Бурятия,,Zakamenskiy,8825542aebfffff,ZAKAMENSK,ЗАКАМЕНСК
7,3,Республика_Бурятия,,Zakamenskiy,8825509095fffff,ZAKAMENSK,ЗАКАМЕНСК
8,3,Республика_Бурятия,,Zakamenskiy,882555122bfffff,ZAKAMENSK,ЗАКАМЕНСК
9,3,Республика_Бурятия,,Zakamenskiy,88255422e9fffff,ZAKAMENSK,ЗАКАМЕНСК
10,3,Республика_Бурятия,,Zakamenskiy,8825550e83fffff,ZAKAMENSK,ЗАКАМЕНСК
11,3,Республика_Бурятия,,Zakamenskiy,88255084a1fffff,ZAKAMENSK,ЗАКАМЕНСК
12,3,Республика_Бурятия,,Zakamenskiy,8825541009fffff,ZAKAMENSK,ЗАКАМЕНСК
13,3,Республика_Бурятия,,Zakamenskiy,8825542e05fffff,ZAKAMENSK,ЗАКАМЕНСК
14,3,Республика_Бурятия,,Zakamenskiy,8825551467fffff,ZAKAMENSK,ЗАКАМЕНСК
15,3,Республика_Бурятия,,Zakamenskiy,882554acebfffff,ZAKAMENSK,ЗАКАМЕНСК
16,3,Республика_Бурятия,,Zakamenskiy,882555ba99fffff,ZAKAMENSK,ЗАКАМЕНСК
17,3,Республика_Бурятия,,Zakamenskiy,88255411adfffff,ZAKAMENSK,ЗАКАМЕНСК
18,3,Республика_Бурятия,,Zakamenskiy,8825551281fffff,ZAKAMENSK,ЗАКАМЕНСК
19,3,Республика_Бурятия,,Zakamenskiy,882550a69dfffff,ZAKAMENSK,ЗАКАМЕНСК
20,3,Республика_Бурятия,,Zakamenskiy,8825556e5dfffff,ZAKAMENSK,ЗАКАМЕНСК
21,3,Республика_Бурятия,,Zakamenskiy,882555ba09fffff,ZAKAMENSK,ЗАКАМЕНСК
22,3,Республика_Бурятия,,Zakamenskiy,882555423dfffff,ZAKAMENSK,ЗАКАМЕНСК
23,3,Республика_Бурятия,,Zakamenskiy,882555a8c5fffff,ZAKAMENSK,ЗАКАМЕНСК
24,3,Республика_Бурятия,,Zakamenskiy,88255516b3fffff,ZAKAMENSK,ЗАКАМЕНСК
25,3,Республика_Бурятия,,Zakamenskiy,8825550e3dfffff,ZAKAMENSK,ЗАКАМЕНСК
26,3,Республика_Бурятия,,Zakamenskiy,882554ab31fffff,ZAKAMENSK,ЗАКАМЕНСК
27,3,Республика_Бурятия,,Zakamenskiy,882550b155fffff,ZAKAMENSK,ЗАКАМЕНСК
28,3,Республика_Бурятия,,Zakamenskiy,8825550097fffff,ZAKAMENSK,ЗАКАМЕНСК
29,3,Республика_Бурятия,,Zakamenskiy,882550912dfffff,ZAKAMENSK,ЗАКАМЕНСК
30,3,Республика_Бурятия,,Zakamenskiy,8825555589fffff,ZAKAMENSK,ЗАКАМЕНСК
31,3,Республика_Бурятия,,Zakamenskiy,882555189bfffff,ZAKAMENSK,ЗАКАМЕНСК
32,3,Республика_Бурятия,,Zakamenskiy,8825556d17fffff,ZAKAMENSK,ЗАКАМЕНСК
33,3,Республика_Бурятия,,Zakamenskiy,88255084e1fffff,ZAKAMENSK,ЗАКАМЕНСК
34,3,Республика_Бурятия,,Zakamenskiy,8825548ca7fffff,ZAKAMENSK,ЗАКАМЕНСК
35,3,Республика_Бурятия,,Zakamenskiy,88257368b5fffff,ZAKAMENSK,ЗАКАМЕНСК
36,3,Республика_Бурятия,,Zakamenskiy,8825548897fffff,ZAKAMENSK,ЗАКАМЕНСК
37,3,Республика_Бурятия,,Zakamenskiy,882555548bfffff,ZAKAMENSK,ЗАКАМЕНСК
38,3,Республика_Бурятия,,Zakamenskiy,8825556f61fffff,ZAKAMENSK,ЗАКАМЕНСК
39,3,Республика_Бурятия,,Zakamenskiy,882555d141fffff,ZAKAMENSK,ЗАКАМЕНСК
40,3,Республика_Бурятия,,Zakamenskiy,882555d11dfffff,ZAKAMENSK,ЗАКАМЕНСК
41,3,Республика_Бурятия,,Zakamenskiy,8825554469fffff,ZAKAMENSK,ЗАКАМЕНСК
42,3,Республика_Бурятия,,Zakamenskiy,882555d251fffff,ZAKAMENSK,ЗАКАМЕНСК
43,3,Республика_Бурятия,,Zakamenskiy,882551d255fffff,ZAKAMENSK,ЗАКАМЕНСК
44,3,Республика_Бурятия,,Zakamenskiy,8825551b39fffff,ZAKAMENSK,ЗАКАМЕНСК
45,3,Республика_Бурятия,,Zakamenskiy,8825541197fffff,ZAKAMENSK,ЗАКАМЕНСК
46,3,Республика_Бурятия,,Zakamenskiy,88255589d1fffff,ZAKAMENSK,ЗАКАМЕНСК
47,3,Республика_Бурятия,,Zakamenskiy,8825543949fffff,ZAKAMENSK,ЗАКАМЕНСК
48,3,Республика_Бурятия,,Zakamenskiy,882555c457fffff,ZAKAMENSK,ЗАКАМЕНСК
49,3,Республика_Бурятия,,Zakamenskiy,8825540045fffff,ZAKAMENSK,ЗАКАМЕНСК
50,3,Республика_Бурятия,,Zakamenskiy,8825555263fffff,ZAKAMENSK,ЗАКАМЕНСК
51,3,Республика_Бурятия,,Zakamenskiy,88255579cbfffff,ZAKAMENSK,ЗАКАМЕНСК
52,3,Республика_Бурятия,,Zakamenskiy,88255578c1fffff,ZAKAMENSK,ЗАКАМЕНСК
53,3,Республика_Бурятия,,Zakamenskiy,88255589ddfffff,ZAKAMENSK,ЗАКАМЕНСК
54,3,Республика_Бурятия,,Zakamenskiy,8825555407fffff,ZAKAMENSK,ЗАКАМЕНСК
55,3,Республика_Бурятия,,Zakamenskiy,8825509259fffff,ZAKAMENSK,ЗАКАМЕНСК
56,3,Республика_Бурятия,,Zakamenskiy,88255508e7fffff,ZAKAMENSK,ЗАКАМЕНСК
57,3,Республика_Бурятия,,Zakamenskiy,8825551099fffff,ZAKAMENSK,ЗАКАМЕНСК
58,3,Республика_Бурятия,,Zakamenskiy,882555ce05fffff,ZAKAMENSK,ЗАКАМЕНСК
59,3,Республика_Бурятия,,Zakamenskiy,88255421ebfffff,ZAKAMENSK,ЗАКАМЕНСК
60,3,Республика_Бурятия,,Zakamenskiy,882554a197fffff,ZAKAMENSK,ЗАКАМЕНСК
61,3,Республика_Бурятия,,Zakamenskiy,88255435e5fffff,ZAKAMENSK,ЗАКАМЕНСК
62,3,Республика_Бурятия,,Zakamenskiy,88255412b1fffff,ZAKAMENSK,ЗАКАМЕНСК
63,3,Республика_Бурятия,,Zakamenskiy,882555c683fffff,ZAKAMENSK,ЗАКАМЕНСК
