,region_code,region_name,district_id,district_name,geohash,event_city,travel_city
0,28,Амурская_область,,Zeya,8814024ac7fffff,ZEYA,ЗЕЯ
1,28,Амурская_область,,Zeya,8814024ae7fffff,ZEYA,ЗЕЯ
2,28,Амурская_область,,Zeya,8814024ae3fffff,ZEYA,ЗЕЯ
3,28,Амурская_область,,Zeya,8814024f29fffff,ZEYA,ЗЕЯ
4,28,Амурская_область,,Zeya,8814024857fffff,ZEYA,ЗЕЯ
5,28,Амурская_область,,Zeya,8814024a85fffff,ZEYA,ЗЕЯ
6,28,Амурская_область,,Zeya,8814024ae1fffff,ZEYA,ЗЕЯ
7,28,Амурская_область,,Zeya,8814024a13fffff,ZEYA,ЗЕЯ
8,28,Амурская_область,,Zeya,8814024aebfffff,ZEYA,ЗЕЯ
9,28,Амурская_область,,Zeya,8814024a33fffff,ZEYA,ЗЕЯ
10,28,Амурская_область,,Zeya,8814024f67fffff,ZEYA,ЗЕЯ
11,28,Амурская_область,,Zeya,88140249c3fffff,ZEYA,ЗЕЯ
12,28,Амурская_область,,Zeya,8814024837fffff,ZEYA,ЗЕЯ
13,28,Амурская_область,,Zeya,881402485dfffff,ZEYA,ЗЕЯ
14,28,Амурская_область,,Zeya,881402488dfffff,ZEYA,ЗЕЯ
15,28,Амурская_область,,Zeya,8814024899fffff,ZEYA,ЗЕЯ
16,28,Амурская_область,,Zeya,8814024a81fffff,ZEYA,ЗЕЯ
17,28,Амурская_область,,Zeya,8814024817fffff,ZEYA,ЗЕЯ
18,28,Амурская_область,,Zeya,8814024815fffff,ZEYA,ЗЕЯ
19,28,Амурская_область,,Zeya,8814024881fffff,ZEYA,ЗЕЯ
20,28,Амурская_область,,Zeya,8814024ab1fffff,ZEYA,ЗЕЯ
21,28,Амурская_область,,Zeya,88140248cbfffff,ZEYA,ЗЕЯ
22,28,Амурская_область,,Zeya,8814024833fffff,ZEYA,ЗЕЯ
23,28,Амурская_область,,Zeya,8814024823fffff,ZEYA,ЗЕЯ
24,28,Амурская_область,,Zeya,8814024807fffff,ZEYA,ЗЕЯ
25,28,Амурская_область,,Zeya,8814024821fffff,ZEYA,ЗЕЯ
26,28,Амурская_область,,Zeya,8814024aabfffff,ZEYA,ЗЕЯ
27,28,Амурская_область,,Zeya,8814024abdfffff,ZEYA,ЗЕЯ
28,28,Амурская_область,,Zeya,8814024f63fffff,ZEYA,ЗЕЯ
29,28,Амурская_область,,Zeya,8814024853fffff,ZEYA,ЗЕЯ
30,28,Амурская_область,,Zeya,8814024f25fffff,ZEYA,ЗЕЯ
31,28,Амурская_область,,Zeya,88140248d5fffff,ZEYA,ЗЕЯ
32,28,Амурская_область,,Zeya,88140248a9fffff,ZEYA,ЗЕЯ
33,28,Амурская_область,,Zeya,8814024831fffff,ZEYA,ЗЕЯ
34,28,Амурская_область,,Zeya,8814024ab3fffff,ZEYA,ЗЕЯ
35,28,Амурская_область,,Zeya,881402483dfffff,ZEYA,ЗЕЯ
36,28,Амурская_область,,Zeya,88140249ddfffff,ZEYA,ЗЕЯ
37,28,Амурская_область,,Zeya,88140248c7fffff,ZEYA,ЗЕЯ
38,28,Амурская_область,,Zeya,88140248dbfffff,ZEYA,ЗЕЯ
39,28,Амурская_область,,Zeya,8814024ae9fffff,ZEYA,ЗЕЯ
40,28,Амурская_область,,Zeya,8814024839fffff,ZEYA,ЗЕЯ
41,28,Амурская_область,,Zeya,8814024a97fffff,ZEYA,ЗЕЯ
42,28,Амурская_область,,Zeya,8814024889fffff,ZEYA,ЗЕЯ
43,28,Амурская_область,,Zeya,88140249c9fffff,ZEYA,ЗЕЯ
44,28,Амурская_область,,Zeya,8814024a87fffff,ZEYA,ЗЕЯ
45,28,Амурская_область,,Zeya,88140248c1fffff,ZEYA,ЗЕЯ
46,28,Амурская_область,,Zeya,8814024a8bfffff,ZEYA,ЗЕЯ
47,28,Амурская_область,,Zeya,8814024ac5fffff,ZEYA,ЗЕЯ
48,28,Амурская_область,,Zeya,88140248c3fffff,ZEYA,ЗЕЯ
49,28,Амурская_область,,Zeya,88140248c9fffff,ZEYA,ЗЕЯ
50,28,Амурская_область,,Zeya,8814024a9dfffff,ZEYA,ЗЕЯ
51,28,Амурская_область,,Zeya,88140248ddfffff,ZEYA,ЗЕЯ
52,28,Амурская_область,,Zeya,881402483bfffff,ZEYA,ЗЕЯ
53,28,Амурская_область,,Zeya,8814024aa3fffff,ZEYA,ЗЕЯ
54,28,Амурская_область,,Zeya,8814024f21fffff,ZEYA,ЗЕЯ
55,28,Амурская_область,,Zeya,8814024827fffff,ZEYA,ЗЕЯ
56,28,Амурская_область,,Zeya,88140249c7fffff,ZEYA,ЗЕЯ
57,28,Амурская_область,,Zeya,8814024a91fffff,ZEYA,ЗЕЯ
58,28,Амурская_область,,Zeya,8814024885fffff,ZEYA,ЗЕЯ
59,28,Амурская_область,,Zeya,88140248d7fffff,ZEYA,ЗЕЯ
60,28,Амурская_область,,Zeya,88140248d9fffff,ZEYA,ЗЕЯ
61,28,Амурская_область,,Zeya,8814024835fffff,ZEYA,ЗЕЯ
62,28,Амурская_область,,Zeya,8814024acbfffff,ZEYA,ЗЕЯ
63,28,Амурская_область,,Zeya,88140248c5fffff,ZEYA,ЗЕЯ
64,28,Амурская_область,,Zeya,8814024a83fffff,ZEYA,ЗЕЯ
65,28,Амурская_область,,Zeya,881402488bfffff,ZEYA,ЗЕЯ
66,28,Амурская_область,,Zeya,8814024859fffff,ZEYA,ЗЕЯ
67,28,Амурская_область,,Zeya,8814024ac9fffff,ZEYA,ЗЕЯ
68,28,Амурская_область,,Zeya,8814024ab9fffff,ZEYA,ЗЕЯ
69,28,Амурская_область,,Zeya,88140249cbfffff,ZEYA,ЗЕЯ
70,28,Амурская_область,,Zeya,8814024a89fffff,ZEYA,ЗЕЯ
71,28,Амурская_область,,Zeya,8814024a95fffff,ZEYA,ЗЕЯ
72,28,Амурская_область,,Zeya,88140249c1fffff,ZEYA,ЗЕЯ
73,28,Амурская_область,,Zeya,8814024ab7fffff,ZEYA,ЗЕЯ
74,28,Амурская_область,,Zeya,8814024acdfffff,ZEYA,ЗЕЯ
75,28,Амурская_область,,Zeya,88140249cdfffff,ZEYA,ЗЕЯ
76,28,Амурская_область,,Zeya,8814024ae5fffff,ZEYA,ЗЕЯ
77,28,Амурская_область,,Zeya,8814024a17fffff,ZEYA,ЗЕЯ
78,28,Амурская_область,,Zeya,88140248ebfffff,ZEYA,ЗЕЯ
79,28,Амурская_область,,Zeya,8814024813fffff,ZEYA,ЗЕЯ
80,28,Амурская_область,,Zeya,8814024aa9fffff,ZEYA,ЗЕЯ
81,28,Амурская_область,,Zeya,88140248d3fffff,ZEYA,ЗЕЯ
82,28,Амурская_область,,Zeya,8814024851fffff,ZEYA,ЗЕЯ
83,28,Амурская_область,,Zeya,88140248e3fffff,ZEYA,ЗЕЯ
84,28,Амурская_область,,Zeya,8814024abbfffff,ZEYA,ЗЕЯ
85,28,Амурская_область,,Zeya,8814024aedfffff,ZEYA,ЗЕЯ
86,28,Амурская_область,,Zeya,88140248a1fffff,ZEYA,ЗЕЯ
87,28,Амурская_область,,Zeya,881402498dfffff,ZEYA,ЗЕЯ
88,28,Амурская_область,,Zeya,8814024ac1fffff,ZEYA,ЗЕЯ
89,28,Амурская_область,,Zeya,8814024f2dfffff,ZEYA,ЗЕЯ
90,28,Амурская_область,,Zeya,881402482bfffff,ZEYA,ЗЕЯ
91,28,Амурская_область,,Zeya,8814024ac3fffff,ZEYA,ЗЕЯ
92,28,Амурская_область,,Zeya,8814024f2bfffff,ZEYA,ЗЕЯ
93,28,Амурская_область,,Zeya,8814024a8dfffff,ZEYA,ЗЕЯ
94,28,Амурская_область,,Zeya,8814024f05fffff,ZEYA,ЗЕЯ
95,28,Амурская_область,,Zeya,88140248d1fffff,ZEYA,ЗЕЯ
96,28,Амурская_область,,Zeya,881402485bfffff,ZEYA,ЗЕЯ
97,28,Амурская_область,,Zeya,8814024aa1fffff,ZEYA,ЗЕЯ
98,28,Амурская_область,,Zeya,8814024ab5fffff,ZEYA,ЗЕЯ
99,28,Амурская_область,,Zeya,88140248e9fffff,ZEYA,ЗЕЯ
100,28,Амурская_область,,Zeya,88140248cdfffff,ZEYA,ЗЕЯ
101,28,Амурская_область,,Zeya,8814024aa7fffff,ZEYA,ЗЕЯ
102,28,Амурская_область,,Zeya,8814024aadfffff,ZEYA,ЗЕЯ
103,28,Амурская_область,,Zeya,88140248edfffff,ZEYA,ЗЕЯ
